Number of particles = 266
A = 1 Angstrom (basic length-scale)
H0(1,1) = 179.608000 A
H0(1,2) = 0 A
H0(1,3) = 0 A
H0(2,1) = 0 A
H0(2,2) = 211.674000 A
H0(2,3) = 0 A
H0(3,1) = 0 A
H0(3,2) = 0 A
H0(3,3) = 203.867000 A
.NO_VELOCITY.
entry_count = 7
auxiliary[0] = index
auxiliary[1] = leader
auxiliary[2] = size
auxiliary[3] = radius
4.008
Ga
0.24541150	0.78630850	0.19927750	77	211	2	7.3492e+00	
0.24090500	0.63097800	0.20971300	78	212	1	0.0000e+00	
0.25113600	0.96280400	0.22084650	79	214	2	2.0650e+00	
0.28080700	0.54632800	0.22964100	80	216	1	0.0000e+00	
0.24777900	0.91519150	0.22899050	81	217	2	1.8642e+00	
0.20622250	0.57515750	0.24176450	82	219	2	1.6167e+00	
0.22836850	0.60382800	0.27452000	83	221	2	1.8955e+00	
0.35158167	0.59310067	0.26828067	84	222	3	5.2786e-01	
0.23725700	0.68592100	0.26712600	85	225	1	0.0000e+00	
0.25475450	0.80307150	0.28292200	86	227	2	1.6042e+00	
0.24483100	0.69737100	0.32846200	87	229	1	0.0000e+00	
0.27743680	0.81607000	0.34061880	88	230	5	7.8565e-01	
0.25824250	0.70326350	0.41955100	89	235	4	6.3671e-01	
0.25047550	0.59234550	0.44430525	90	238	4	4.0234e-01	
0.25074150	0.76161350	0.48529350	91	243	2	1.5646e+00	
0.25738900	0.86810950	0.49615450	92	245	4	6.0871e-01	
0.24359600	0.95219900	0.48257400	93	248	1	0.0000e+00	
0.25454650	0.60458550	0.50586300	94	249	2	9.8092e+00	
0.09925764	0.85524500	0.52956420	95	252	5	7.1177e-01	
0.26763600	0.70727500	0.54234850	96	257	2	2.0067e+00	
0.27522300	0.67911900	0.59068300	97	259	1	0.0000e+00	
0.27763400	0.89654800	0.58106500	98	260	2	1.5609e+00	
0.27794000	0.83078700	0.59828450	99	262	2	1.9389e+00	
0.27051250	0.71550400	0.62973100	100	264	2	7.4251e+00	
0.28114950	0.95066150	0.61998050	101	265	2	1.8496e+00	
0.28155450	0.53994150	0.63982450	102	267	2	1.8614e+00	
0.26818000	0.60224400	0.63840700	103	269	1	0.0000e+00	
0.45751825	0.86629475	0.63976300	104	271	4	5.6055e-01	
0.28697500	0.85446700	0.66892750	105	275	2	7.3456e+00	
0.23695900	0.67618800	0.67054600	106	276	1	0.0000e+00	
0.03650904	0.95397743	0.70036371	107	278	7	9.8322e-01	
