Radius	Number of Clusters	AveSize
0	3	1.000000	
1	0	0.000000	
2	1	3.000000	
3	0	0.000000	
4	0	0.000000	
5	2	4.000000	
6	1	4.000000	
7	4	3.750000	
8	6	3.666667	
9	20	3.350000	
10	61	3.327869	
11	35	3.914286	
12	14	4.142857	
13	13	4.923077	
14	23	5.000000	
15	23	5.173913	
16	8	5.625000	
17	19	6.000000	
18	12	6.083333	
19	11	6.454545	
20	16	6.875000	
21	13	7.076923	
22	12	7.750000	
23	13	8.000000	
24	16	8.312500	
25	13	8.846154	
26	11	9.363636	
27	5	9.200000	
28	10	10.300000	
29	15	10.733333	
30	12	11.166667	
31	8	10.250000	
32	14	10.071429	
33	7	9.571429	
34	3	9.666667	
35	7	9.000000	
36	7	10.714286	
37	5	14.200000	
38	5	13.400000	
39	5	16.000000	
40	0	0.000000	
41	1	19.000000	
42	0	0.000000	
43	0	0.000000	
44	0	0.000000	
45	0	0.000000	
46	0	0.000000	
47	0	0.000000	
48	0	0.000000	
49	0	0.000000	
50	0	0.000000	
51	0	0.000000	
52	0	0.000000	
53	1	27.000000	
54	0	0.000000	
55	0	0.000000	
56	0	0.000000	
57	0	0.000000	
58	0	0.000000	
59	0	0.000000	
60	0	0.000000	
61	0	0.000000	
62	0	0.000000	
63	0	0.000000	
64	0	0.000000	
65	0	0.000000	
66	0	0.000000	
67	0	0.000000	
68	0	0.000000	
69	0	0.000000	
70	0	0.000000	
71	0	0.000000	
72	0	0.000000	
73	0	0.000000	
74	0	0.000000	
75	0	0.000000	
76	0	0.000000	
77	0	0.000000	
78	0	0.000000	
79	0	0.000000	
80	0	0.000000	
